genome	protein_id	ko	evalue	score
GCF_056504695.1	WP_003178586.1	K01113	2.1e-168	560.2
GCF_056504695.1	WP_142782703.1	K01505	3.6e-16	56.8
GCF_056504695.1	WP_003182145.1	K01915	1.5e-108	362.3
GCF_056504695.1	WP_009329669.1	K02406	5.1e-134	446.2
GCF_056504695.1	WP_011198198.1	K02556	2.9e-94	314.4
GCF_056504695.1	WP_003181091.1	K02557	2.8e-73	245.5
GCF_056504695.1	WP_009328508.1	K03407	1.1e-224	746.2
GCF_056504695.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_056504695.1	WP_003178321.1	K03833	1.8e-79	266.2
GCF_056504695.1	WP_142782764.1	K03834	1.9e-11	41.5
GCF_056504695.1	WP_003184100.1	K04103	3.4e-68	228.5
GCF_056504695.1	WP_003183411.1	K06390	1.4e-130	433.6
GCF_056504695.1	WP_003184312.1	K07636	4.3e-124	413.2
GCF_056504695.1	WP_003183084.1	K07657	8.1e-83	276.3
GCF_056504695.1	WP_003182961.1	K16531	4e-21	73.2
GCF_056781025.1	WP_060596482.1	K00366	5.7e-86	287.0
GCF_056781025.1	WP_414051862.1	K00372	1.6e-275	914.4
GCF_056781025.1	WP_106036602.1	K01077	7.6e-107	356.3
GCF_056781025.1	WP_066030729.1	K01505	1.3e-15	54.7
GCF_056781025.1	WP_060596374.1	K01915	1.2e-108	362.3
GCF_056781025.1	WP_106071560.1	K02406	2.7e-132	440.2
GCF_056781025.1	WP_034662877.1	K02556	7.5e-93	309.5
GCF_056781025.1	WP_060596120.1	K02557	3.1e-69	231.9
GCF_056781025.1	WP_060596272.1	K03407	1.3e-224	745.7
GCF_056781025.1	WP_007499584.1	K03413	1.6e-47	160.3
GCF_056781025.1	WP_034283892.1	K03833	2.5e-79	265.5
GCF_056781025.1	WP_060596901.1	K04103	5.1e-72	240.8
GCF_056781025.1	WP_066030674.1	K06390	8.3e-134	444.0
GCF_056781025.1	WP_106031192.1	K07636	2.9e-124	413.5
GCF_056781025.1	WP_012010858.1	K07657	3.3e-84	280.6
GCF_056781025.1	WP_034661516.1	K16531	9e-23	78.3
GCF_905310995.2	WP_029725918.1	K00366	8.4e-84	280.1
GCF_905310995.2	WP_029727068.1	K00372	1.4e-279	928.1
GCF_905310995.2	WP_029725845.1	K01077	1.3e-113	378.9
GCF_905310995.2	WP_014475691.1	K01113	1.7e-165	550.5
GCF_905310995.2	WP_029726772.1	K01505	1.8e-14	51.2
GCF_905310995.2	WP_015252037.1	K01915	3.6e-107	357.7
GCF_905310995.2	WP_029725988.1	K02406	3.7e-133	443.3
GCF_905310995.2	WP_014477672.1	K02556	1.9e-94	315.0
GCF_905310995.2	WP_003232473.1	K02557	4.5e-72	241.5
GCF_905310995.2	WP_014476817.1	K03407	2.6e-225	748.2
GCF_905310995.2	WP_014476812.1	K03413	5.7e-48	162.1
GCF_905310995.2	WP_003235058.1	K03833	2.2e-79	265.9
GCF_905310995.2	WP_003246569.1	K04103	3.9e-71	238.1
GCF_905310995.2	WP_015251728.1	K06390	6.5e-132	438.0
GCF_905310995.2	WP_029726381.1	K07636	7.2e-125	415.8
GCF_905310995.2	WP_003246107.1	K07657	3.2e-84	280.9
GCF_905310995.2	WP_021481536.1	K16531	1.2e-20	71.6
